State,Year,Season,Crop,Area,Production,Rainfall,avg_temp,PH Value of Soil,Type of soil,Suitable Fertilizer,Crop_yield
0,2000,1,0,1254,2000,2763.2,16.37,6.5,0,0,36613
0,2000,1,0,2,1,2763.2,16.37,7.5,0,0,66667
0,2000,1,5,102,321,2763.2,16.37,7.5,0,0,23333
0,2000,4,0,176,641,2763.2,16.37,7.5,0,0,12500
0,2000,4,0,720,165,2763.2,16.37,7.5,0,1,7000
0,2000,4,1,18168,65100000,2763.2,16.37,7.5,1,1,30197
0,2000,4,0,36,100,2763.2,15.36,7.5,3,1,29068
0,2000,4,6,1,2,2763.2,15.36,7.5,3,1,77818
0,2000,4,5,5,15,2763.2,15.36,7.5,0,1,28538
0,2000,4,6,40,169,2763.2,15.36,7.5,0,1,6667
0,2001,1,0,1254,2061,3080.9,15.36,7.5,0,1,6066
0,2001,1,0,2,1,3080.9,15.36,7.5,1,1,20698
0,2001,1,5,83,300,3080.9,16.06,7.5,1,1,24876
0,2001,4,0,719,192,3080.9,16.06,7.5,1,1,82920
0,2001,4,1,18190,64430000,3080.9,16.06,7.5,1,1,40000
1,2001,4,0,46,100,3080.9,16.06,7.5,1,1,3747
1,2001,4,6,1,1,3080.9,16.06,7.5,1,1,4507
1,2001,4,5,11,33,3080.9,16.06,7.5,1,1,24388
1,2002,1,5,189.2,510.84,2620.2,16.05,7.5,1,1,24185
1,2002,4,0,1258,2083,2620.2,16.05,7.5,1,1,98446
1,2002,4,0,213,1278,2620.2,16.05,7.5,1,1,41786
1,2002,4,0,63,13.5,2620.2,16.05,7.5,1,1,7998
1,2002,4,0,719,208,2620.2,16.05,7.5,1,1,29976
1,2002,4,1,18240,67490000,2620.2,16.96,7.5,0,1,25848
1,2002,4,0,413,28.8,2620.2,16.96,7.5,0,1,81404
1,2002,4,0,47.3,133,2620.2,16.96,6.5,0,1,7927
1,2002,4,6,5,40,2620.2,16.96,6.5,0,1,24745
1,2003,1,5,52,90.17,2355.9,15.67,6.5,0,1,31300
1,2003,4,0,1261,1525,2355.9,15.67,6.5,0,1,111323
1,2003,4,0,266,1763,2355.9,15.67,6.5,0,1,11791
1,2003,4,0,75.5,15.86,2355.9,15.67,6.5,0,1,28703
1,2003,4,0,717,208.5,2355.9,15.64,6.5,0,1,32604
1,2003,4,1,18284.74,68580000,2355.9,15.64,6.5,0,1,106138
1,2003,4,0,60,102,2355.9,15.64,6.5,0,1,15480
1,2003,4,0,102,326.4,2355.9,15.64,6.5,0,1,21741
1,2003,4,0,4.2,0.3,2355.9,15.9,6.5,0,1,31862
1,2004,1,5,52.94,72.57,2460.1,15.9,6.5,0,1,109874
1,2004,4,0,1264.7,805.85,2460.1,15.9,6.5,0,1,12768
1,2004,4,0,66.42,404.12,2460.1,15.9,6.5,0,1,28516
1,2004,4,0,85,15.86,2460.1,16.27,6.5,0,1,33416
1,2004,4,0,683.5,197.9,2460.1,16.27,6.5,0,1,127212
1,2004,4,1,18394.7,52380000,2460.1,16.27,6.5,0,1,14327
1,2004,4,0,60,145.2,2460.1,16.27,6.5,0,1,28037
1,2004,4,0,118,366,2460.1,16.57,6.5,0,1,37455
1,2004,4,0,1,0.11,2460.1,16.57,6.5,0,1,142018
1,2005,1,5,2.09,12.06,2954.7,16.57,6.5,0,1,17143
1,2005,4,0,22,582,2954.7,16.57,6.5,0,1,24954
1,2005,4,0,41,0.1,2954.7,16.67,6.5,0,1,38811
1,2005,4,0,450,55.8,2954.7,16.67,6.5,0,1,141228
1,2005,4,1,13876.57,52030000,2954.7,16.67,6.5,0,1,15000
1,2005,4,5,10,70,2954.7,16.67,6.5,0,1,30455
1,2006,4,0,896,477.6,2404.7,16.59,6.5,0,1,38135
1,2006,4,0,198,976,2404.7,16.59,6.5,0,1,148818
1,2006,4,0,22.16,0.68,2404.7,16.59,6.5,0,1,20000
1,2006,4,0,450,85.13,2404.7,16.59,6.5,0,1,28220
1,2006,4,1,14358,59370000,2404.7,16.47,6.5,0,1,39460
1,2006,4,0,3,9,2404.7,16.47,6.5,0,1,153868
1,2006,4,0,6,21,2404.7,16.47,6.5,0,1,20000
1,2006,4,6,0.2,0.5,2404.7,16.47,6.5,0,1,31617
1,2006,4,5,18,86,2404.7,16.16,6.5,0,1,46197
1,2006,4,6,52.03,450,2404.7,16.16,5.5,0,1,149346
1,2006,4,5,2.5,1.03,2404.7,16.16,5.5,0,1,13333
1,2010,0,5,3.5,10,3157.1,16.16,5.5,0,1,31130
1,2010,0,6,13.4,41.75,3157.1,15.67,5.5,3,1,45442
1,2010,2,0,944,1610,3157.1,15.67,5.5,3,1,167061
1,2010,2,0,23,8.5,3157.1,15.67,5.5,3,1,17500
1,2010,2,0,1000.5,260.5,3157.1,15.67,5.5,3,1,31582
1,2010,2,0,12,25,3157.1,15.92,5.5,3,1,50111
1,2010,2,0,7,9.64,3157.1,15.92,5.5,3,1,170745
1,2010,2,0,3.84,18.22,3157.1,15.92,5.5,3,1,20000
1,2010,2,0,1.5,1.1,3157.1,15.92,5.5,3,1,30787
1,2010,2,5,22,208,3157.1,16.67,5.5,3,1,46732
1,2010,2,5,2,0.5,3157.1,16.67,5.5,3,1,188902
1,2010,2,6,1.5,1.16,3157.1,16.67,5.5,3,1,20000
1,2010,4,0,593,3425,3157.1,16.67,5.5,3,1,35496
1,2010,4,1,14560,71300000,3157.1,16.71,5.5,3,1,50000
1,2010,4,6,69,575,3157.1,16.71,5.5,3,1,193878
1,2000,1,0,3100,5200,2763.2,16.71,5.5,3,1,20000
1,2000,1,0,668,448,2763.2,16.71,5.5,3,1,40168
1,2000,1,5,10779,31863,2763.2,16.73,5.5,3,1,55693
1,2000,4,0,1531,12073,2763.2,16.73,5.5,3,1,219780
1,2000,4,0,80,54,2763.2,16.73,5.5,3,1,16667
1,2000,4,1,6992,23900000,2763.2,16.73,5.5,3,1,40229
1,2000,4,0,352,1120,2763.2,16.52,5.5,3,1,66790
1,2000,4,0,133,55,2763.2,16.52,5.5,3,1,231111
1,2000,4,6,141,3736,2763.2,16.52,5.5,3,1,16667
1,2000,4,5,78,843,2763.2,16.52,5.5,3,1,39905
1,2000,4,6,160,2108,2763.2,16.45,5.5,3,1,59869
1,2001,1,0,3100,5239,3080.9,16.45,5.5,3,1,242211
